Type,Date,Name,Sex,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured
Motive Confirmed,28-Oct-12,Mohamed Mohamud Turyare,Male,Somalia,Shabelle Media Network,Somali,Internet,Broadcast,"Culture, Politics",No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,23-Oct-12,Ahmed Farah Ilyas,Male,Somalia,Universal TV,Somali,Television,Broadcast,"Culture, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,10-Oct-12,Mohammed al-Ashram,Male,Syria,Al-Ikhbariya,Syria,Television,Camera Operator,"Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,7-Oct-12,Mushtaq Khand,Male,Pakistan,Dharti Television Network and Mehran,Pakistan,Television,Print Reporter,"Crime, Politics, War",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,3-Oct-12,Mona al-Bakkour,Female,Syria,Al-Thawra and Syria al-Qalaa,Syria,Internet,Editor,"Politics, War",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,29-Sep-12,Abdul Haq Baloch,Male,Pakistan,ARY Television,Pakistan,Television,Broadcast,"Crime, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,26-Sep-12,Maya Naser,Male,Syria,Press TV,Syria,Television,Broadcast,"Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,21-Sep-12,Hassan Yusuf Absuge,Male,Somalia,Radio Maanta,Somalia,Radio,Broadcast,"Crime, Culture, Politics",No,Local,Political Group,Murder,Partial,No,No,"No
"
Motive Confirmed,20-Sep-12,Liban Ali Nur,Male,Somalia,Somali National TV,Somalia,Television,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,20-Sep-12,Abdisatar Daher Sabriye,Male,Somalia,Radio Mogadishu,Somalia,Radio,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,20-Sep-12,Abdirahman Yasin Ali,Male,Somalia,Radio Hamar,Somalia,Radio,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,19-Sep-12,Abdel Karim al-Oqda,Male,Syria,Shaam News Network,Syria,Internet,Camera Operator,"Human Rights, War",No,Local,Military Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,16-Sep-12,Yusuf Ahmed Deeb,Male,Syria,Liwaa Al-Fatih,Syria,Print,Editor,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,11-Sep-12,Hang Serei Odom,Male,Cambodia,Virakchun Khmer Daily,Cambodia,Print,Print Reporter,"Business, Corruption, Crime, Politics",No,Local,"Criminal Group, Military Officials",Murder,Yes,Yes,No,"No
"
Motive Confirmed,9-Sep-12,Tamer al-Awam,Male,Syria,Freelance,Syrian,Television,Camera Operator,"Human Rights, Politics, War",Yes,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,2-Sep-12,Daudi Mwangosi,Male,Tanzania,Channel Ten,Tanzania,Television,Broadcast,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,22-Aug-12,Mosaab al-Obdaallah,Male,Syria,Tishreen,Syria,Internet,Internet Reporter,"Culture, Politics, Sports, War",Yes,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,20-Aug-12,Mika Yamamoto,Female,Syria,Japan Press,Japan,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,11-Aug-12,Ali Abbas,Male,Syria,SANA,Syria,Television,Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,10-Aug-12,Hatem Abu Yehia,Male,Syria,Al-Ikhbariya,Syria,Television,Camera Operator,"Politics, War",No,Local,Unknown Fire,Unknown,,Yes,No,"No
"
Motive Confirmed,12-Jul-12,Ihsan al-Buni,Male,Syria,Al-Thawra,Syria,Internet,Photographer,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,5-Jul-12,Valério Luiz de Oliveira,Male,Brazil,Radio Jornal,Brazil,Radio,Columnist,Sports,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,1-Jul-12,Byron Baldeón,Male,Ecuador,Freelance,Ecuador,Print,Photographer,Crime,Yes,Local,Unknown Fire,Murder,Yes,No,,"No
"
Motive Confirmed,27-Jun-12,Mohammad Shamma,Male,Syria,Al-Ikhbariya,Syria,Television,Technician,Politics,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,27-Jun-12,Sami Abu Amin,Male,Syria,Al-Ikhbariya,Syria,Television,Broadcast,Politics,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,15-Jun-12,Jamal Uddin,Male,Bangladesh,Gramer Kagoj,Bangladesh,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,28-May-12,Abdul Qadir Hajizai,Male,Pakistan,WASH TV,Pakistan,Television,Broadcast,"Politics, War",Yes,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,28-May-12,Ahmed al-Assam,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,28-May-12,Bassel al-Shahade,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,27-May-12,Ahmed Adnan al-Ashlaq,Male,Syria,Shaam News Network,Syria,Internet,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,27-May-12,Lawrence Fahmy al-Naimi,Male,Syria,Shaam News Network,Syria,Internet,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,27-May-12,Ammar Mohamed Suhail Zado,Male,Syria,Shaam News Network,Syria,Internet,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,24-May-12,Ahmed Addow Anshur,Male,Somalia,Shabelle Media Network,Somalia,Radio,Broadcast,Politics,No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,19-May-12,Razzaq Gul,Male,Pakistan,Express News TV,Pakistan,Television,Broadcast,"Politics, War",No,Local,Unknown Fire,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,2-May-12,Farhan Jeemis Abdulle,Male,Somalia,Radio Daljir and Simba Radio,Somalia,Radio,Broadcast,"Culture, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,28-Apr-12,Regina Martínez Pérez,Male,Mexico,Proceso,Mexico,Print,Print Reporter,"Crime, Politics",No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,23-Apr-12,Décio Sá,Male,Brazil,O Estado do Maranhão and Blog do Décio,Brazil,Internet,Internet Reporter,"Corruption, Politics",No,Local,Criminal Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,9-Apr-12,Ali Shaaban,Male,Lebanon,Al-Jadeed,Lebanon,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,8-Apr-12,Leiron Kogoya,Male,Indonesia,Papua Pos Nabire and Pasifik Pos Dail,Indonesia,Internet,Print Reporter,"Culture, Human Rights, Politics",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,5-Apr-12,Mahad Salad Adan,Male,Somalia,Shabelle Media Network,Somalia,Internet,Broadcast,Politics,Yes,Local,Political Group,Murder,Yes,,,"
"
Motive Confirmed,31-Mar-12,Ahmed Ismail Hassan,Male,Bahrain,Freelance,Bahrain,Internet,Camera Operator,"Human Rights, Politics",Yes,Local,Paramilitary Group,Dangerous Assignment,,,No,"
"
Motive Confirmed,4-Mar-12,Ali Ahmed Abdi,Male,Somalia,Freelance,Somali,Internet,Broadcast,"Human Rights, Politics, War",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,1-Mar-12,Rajesh Mishra,Male,India,Media Raj,Indian,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,28-Feb-12,Abukar Hassan Mohamoud,Male,Somalia,Somaliweyn Radio,Somali,Radio,Editor,"Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,24-Feb-12,Anas al-Tarsha,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,22-Feb-12,Rémi Ochlik,Male,Syria,Freelance,France,Print,Photographer,"Human Rights, War",Yes,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,22-Feb-12,Marie Colvin,Female,Syria,The Sunday Times,American,Print,Print Reporter,"Human Rights, War",No,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,21-Feb-12,Rami al-Sayed,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,9-Feb-12,Mario Randolfo Marques Lopes,Male,Brazil,Vassouras na Net,Brazil,Internet,Internet Reporter,"Corruption, Crime, Politics",No,Local,Government Officials,Murder,Yes,Yes,Yes,"No
"
Motive Confirmed,4-Feb-12,Mazhar Tayyara,Male,Syria,Freelance,Syria,Television,Camera Operator,"Human Rights, Politics",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,28-Jan-12,Hassan Osman Abdi,Male,Somalia,Shabelle Media Network,Somali,Television,Broadcast,"Business, Corruption, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,20-Jan-12,Enenche Akogwu,Male,Nigeria,Channels TV,Nigeria,Television,Camera Operator,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,17-Jan-12,Mukarram Khan Aatif,Male,Pakistan,Freelance,Pakistan,Television,Broadcast,"Politics, War",Yes,Local,"Military Officials, Political Group",Murder,Yes,No,Yes,"No
"
Motive Confirmed,12-Jan-12,"Wisut \Ae\"" Tangwittayaporn""",Male,Thailand,Inside Phuket,Thailand,Print,Publisher,Business,No,Local,Local Residents,Murder,Yes,No,No,"No
"
Motive Confirmed,11-Jan-12,Gilles Jacquier,Male,Syria,France 2,France,Television,Broadcast,"Human Rights, Politics",No,Foreign,Unknown Fire,Dangerous Assignment,,,,"
"
Motive Confirmed,5-Jan-12,Christopher Guarin,Male,Philippines,Radyo Mo Nationwide and Tatak News,Philippines,Radio,Internet Reporter,"Business, Politics",No,Local,Local Residents,Murder,Yes,No,Yes,"No
"
Motive Confirmed,27-Dec-11,Basil al-Sayed,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, Politics",Yes,Local,Military Officials,Dangerous Assignment,,,,"
"
Motive Confirmed,18-Dec-11,Abdisalan Sheikh Hassan,Male,Somalia,Freelance,Somalia,Television,Broadcast,"Human Rights, Politics",Yes,Local,"Government Officials, Military Officials",Murder,Yes,No,Yes,"No
"
Motive Confirmed,15-Dec-11,Gadzhimurad Kamalov,Male,Russia,Chernovik,Russia,Print,Editor,"Corruption, Human Rights, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,23-Nov-11,Rafiq Tagi,Male,Azerbaijan,Freelance,Azerbaijan,Internet,Internet Reporter,"Culture, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,"November 19 or 20, 2011",Ferzat Jarban,Male,Syria,Freelance,Syria,Television,Camera Operator,Politics,Yes,Local,Government Officials,Dangerous Assignment,,,,"
"
Motive Confirmed,6-Nov-11,Gelson Domingos da Silva,Male,Brazil,Bandeirantes TV,Brazil,Television,Camera Operator,Crime,No,Local,Unknown Fire,Dangerous Assignment,Yes,No,No,"No
"
Motive Confirmed,6-Nov-11,Darío Fernández Jaén,Male,Panama,Radio Mi Favorita,Panama,Radio,Publisher,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,11-Nov,Javed Naseer Rind,Male,Pakistan,Daily Tawar,Pakistan,Print,Columnist,"Crime, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,Yes,Yes,"Yes
"
Motive Confirmed,22-Oct-11,Zakariya Isa,Male,Nigeria,Nigeria Television Authority,Nigeria,Television,Camera Operator,,No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,9-Oct-11,Wael Mikhael,Male,Egypt,Al-Tareeq,Egypt,Television,Camera Operator,"Culture, Politics",Yes,Local,Military Officials,Dangerous Assignment,,,,"
"
Motive Confirmed,7-Oct-11,Faisal Qureshi,Male,Pakistan,The London Post,Pakistan,Internet,Editor,Politics,No,Local,Political Group,Murder,Yes,No,Yes,"Yes
"
Motive Confirmed,24-Sep-11,Maria Elizabeth Macías Castro,Female,Mexico,Freelance,Mexico,Internet,Internet Reporter,Crime,Yes,Local,Criminal Group,Murder,Yes,No,No,"Yes
"
Motive Confirmed,24-Sep-11,Phamon Phonphanit,Male,Thailand,Sue Samut Atyakam,Thailand,Print,Print Reporter,Crime,No,Local,Political Group,Dangerous Assignment,,,,"
"
Motive Confirmed,24-Sep-11,Hassan al-Wadhaf,Male,Yemen,Arabic Media Agency,Yemen,Television,Camera Operator,Politics,Yes,Local,Paramilitary Group,Dangerous Assignment,,,No,"
"
Motive Confirmed,20-Sep-11,Farhad Taqaddosi,Male,Afghanistan,Press TV,Iran,Television,Camera Operator,"Politics, War",No,Foreign,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,8-Sep-11,Hadi al-Mahdi,Male,Iraq,Freelance,Iraq,Radio,Broadcast,"Corruption, Politics",Yes,Local,Unknown Fire,Murder,Yes,,Yes,"
"
Motive Confirmed,8-Sep-11,Pedro Alfonso Flores Silva,Male,Peru,Channel 6,Peru,Television,Columnist,"Corruption, Politics",Yes,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,2-Sep-11,Noramfaizul Mohd,Male,Somalia,Bernama TV,Malaysia,Television,Camera Operator,"Human Rights, War",No,Foreign,Military Officials,Dangerous Assignment,,,,"
"
Motive Confirmed,2-Aug-11,José Agustín Silvestre de los Santos,Male,Dominican Republic,"La Voz de la Verdad, Caña TV",Dominican,Television,Broadcast,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,Yes,"No
"
Motive Confirmed,28-Jul-11,Ahmad Omaid Khpalwak,Male,Afghanistan,"Pajhwok Afghan News, BBC",Afghanistan,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,21-Jun-11,Alwan al-Ghorabi,Male,Iraq,Afaq,Iraq,Television,Camera Operator,Politics,No,Local,Political Group,Dangerous Assignment,,,,"
"
Motive Confirmed,17-Jun-11,Shafiullah Khan,Male,Pakistan,The News,Pakistan,Print,Print Reporter,"Crime, Politics",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,15-Jun-11,Edinaldo Filgueira,Male,Brazil,Jornal o Serrano,Brazil,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Partial,No,Yes,"No
"
Motive Confirmed,13-Jun-11,Romeo Olea,Male,Philippines,DWEB,Philippines,Radio,Broadcast,"Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,11-Jun-11,Asfandyar Khan,Male,Pakistan,Akhbar-e-Khyber,Pakistan,Print,Print Reporter,"Crime, Politics",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,"May 29 or 30, 2011",Saleem Shahzad,Male,Pakistan,Asia Times Online,Pakistan,Internet,Columnist,"Business, Corruption, Politics, War",No,Local,Military Officials,Murder,Yes,Yes,Yes,"Yes
"
Motive Confirmed,10-May-11,Nasrullah Khan Afridi,Male,Pakistan,Pakistan Television and Mashriq,Pakistan,Television,Print Reporter,,Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,8-May-11,Sylvain Gagnetau Lago,Male,Ivory Coast,Radio Yopougon,Ivory Coast,Television,Broadcast,Politics,No,Local,,Murder,Yes,Yes,Yes,"No
"
Motive Confirmed,25-Apr-11,Alfredo Antonio Hurtado Núñez,Male,El Salvador,Canal 33,El Salvador,Television,Camera Operator,Crime,No,Local,Criminal Group,Murder,Partial,No,,"No
"
Motive Confirmed,20-Apr-11,Chris Hondros,Male,Libya,Getty Images,USA,Internet,Photographer,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,20-Apr-11,Tim Hetherington,Male,Libya,Freelance,UK,Television,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,12-Apr-11,Karim Fakhrawi,Male,Bahrain,Al-Wasat,Bahrain,Print,Publisher,"Human Rights, Politics",Yes,Local,Government Officials,Dangerous Assignment,,,,"
"
Motive Confirmed,9-Apr-11,Zakariya Rashid Hassan al-Ashiri,Male,Bahrain,Freelance,Egypt,Internet,Editor,"Business, Culture, Human Rights, Politics",Yes,Local,Government Officials,Dangerous Assignment,,,,"
"
Motive Confirmed,9-Apr-11,Luciano Leitão Pedrosa,Male,Brazil,TV Vitória and Radio Metropolitana FM,Brazil,Television,Columnist,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,5-Apr-11,Anton Hammerl,Male,Libya,Freelance,South Africa,Print,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
"
Motive Confirmed,29-Mar-11,Sabah al-Bazi,Male,Iraq,Al-Arabiya,Iraq,Television,Broadcast,Politics,No,Local,Political Group,Dangerous Assignment,,,,"
"
Motive Confirmed,29-Mar-11,Muammar Khadir Abdelwahad,Male,Iraq,Al-Ayn,Iraq,Print,Print Reporter,Politics,No,Local,Political Group,Dangerous Assignment,,,,"
"
Motive Confirmed,25-Mar-11,Luis Emanuel Ruiz Carrillo,Male,Mexico,La Prensa,Mexico,Print,Photographer,Culture,No,Local,Criminal Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,19-Mar-11,Mohammed al-Nabbous,Male,Libya,Libya Al-Hurra TV,Libya,Internet,Camera Operator,War,Yes,Local,Paramilitary Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,18-Mar-11,Jamal al-Sharaabi,Male,Yemen,Al-Masdar,Yemen,Print,Photographer,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,13-Mar-11,Ali Hassan al-Jaber,Male,Libya,Al-Jazeera,Qatar,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,11-Mar,Noel López Olguín,Male,Mexico,Freelance,Mexico,Print,Columnist,Crime,Yes,Local,Criminal Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,24-Feb-11,Mohamed al-Hamdani,Male,Iraq,Al-Itijah ,Iraq,Television,Broadcast,Culture,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,4-Feb-11,Ahmad Mohamed Mahmoud,Male,Egypt,Al-Ta'awun,Egypt,Print,Print Reporter,Politics,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,24-Jan-11,Gerardo Ortega,Male,Philippines,DWAR,Philippines,Radio,Columnist,"Business, Corruption, Politics",No,Local,Government Officials,Murder,Partial,No,Yes,"No
"
Motive Confirmed,23-Jan-11,Umesh Rajput,Male,India,Nai Dunia ,India,Print,Print Reporter,"Corruption, Human Rights, Politics",No,Local,Local Residents,Murder,Yes,No,Yes,"No
"
Motive Confirmed,17-Jan-11,Lucas Mebrouk Dolega,Male,Tunisia,European Pressphoto Agency,France,Internet,Photographer,Politics,No,Foreign,Military Officials,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,13-Jan-11,Wali Khan Babar,Male,Pakistan,Geo TV,Pakistan,Television,Broadcast,"Corruption, Crime, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,17-Dec-10,Alfrets Mirulewan,Male,Indonesia,Pelangi Weekly,Indonesia,Print,Editor,Crime,No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,12-Dec-10,Omar Rasim al-Qaysi,Male,Iraq,Al-Anbar TV,Iraq,Television,Broadcast,"Culture, Sports",No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,6-Dec-10,Pervez Khan,Male,Pakistan,Waqt TV,Pakistan,Television,Camera Operator,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,6-Dec-10,Abdul Wahab,Male,Pakistan,Express News,Pakistan,Television,Camera Operator,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,5-Nov-10,Carlos Alberto Guajardo Romero,Male,Mexico,Expreso Matamoros,Mexico,Print,Print Reporter,Crime,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,18-Oct-10,Francisco Gomes de Medeiros,Male,Brazil,Radio Caicó,Brazil,Internet,Broadcast,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,4-Oct-10,Tahrir Kadhim Jawad,Male,Iraq,freelance,Iraq,Television,Camera Operator,"Culture, Politics, War",Yes,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,16-Sep-10,Luis Carlos Santiago,Male,Mexico,El Diario,Mexico,Print,Photographer,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,14-Sep-10,Misri Khan,Male,Pakistan,Ausaf and Mashriq,Pakistan,Print,Print Reporter,"Culture, Politics, War",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,11-Sep-10,Paul Kiggundu,Male,Uganda,TOP Radio and TV,Uganda,Television,Broadcast,Crime,Yes,Local,Mob Violence,Murder,Yes,No,No,"No
"
Motive Confirmed,8-Sep-10,Safa al-Din Abdel Hamid,Male,Iraq,Al-Mosuliya,Iraq,Television,Broadcast,Culture,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,7-Sep-10,Riad al-Saray,Male,Iraq,Al-Iraqya,Iraq,Television,Broadcast,Culture,No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,6-Sep-10,Ejaz Raisani,Male,Pakistan,Samaa TV,Pakistan,Television,Camera Operator,Politics,No,Local,"Criminal Group, Mob Violence",Dangerous Assignment,,No,No,"No
"
Motive Confirmed,5-Sep-10,Alberto Graves Chakussanga,Male,Angola,Radio Despertar,Angolan,Radio,Broadcast,Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,3-Sep-10,Aleh Byabenin,Male,Belarus,Charter 97,Belarus,Internet,Editor,"Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,24-Aug-10,Barkhat Awale,Male,Somalia,Hurma Radio,Somalia,Radio,Editor,"Culture, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,21-Aug-10,Ridwan Salamun,Male,Indonesia,Sun TV,Indonesia,Television,Broadcast,Culture,Yes,Local,Mob Violence,Murder,Yes,No,No,"No
"
Motive Confirmed,3-Aug-10,Assaf Abu Rahal,Male,Lebanon,Al-Akhbar,Lebanon,Print,Print Reporter,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,30-Jul-10,Ardiansyah Matra'is,Male,Indonesia,Merauke TV,Indonesia,Television,Broadcast,"Business, Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,Yes,Yes,"Yes
"
Motive Confirmed,20-Jul-10,Vijay Pratap Singh,Male,India,Indian Express,India,Print,Print Reporter,"Business, Politics",No,Local,Political Group,Dangerous Assignment,,,,"
"
Motive Confirmed,19-Jul-10,Sokratis Giolias,Male,Greece,"Thema 98.9, Troktiko",Greece,Internet,Broadcast,Corruption,No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,26-Jun-10,Jean-Léonard Rugambage,Male,Rwanda,Umuvugizi,Rwanda,Internet,Editor,Politics,No,Local,"Government Officials, Military Officials",Murder,Yes,No,Yes,"No
"
Motive Confirmed,24-Jun-10,James P. Hunter,Male,Afghanistan,"Fort Campbell Courier, U.S. military publications",American,Print,Photographer,War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,16-Jun-10,Joselito Agustin,Male,Philippines,DZJC,Philippine,Radio,Columnist,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,14-Jun-10,Desidario Camangyan,Male,Philippines,Sunrise FM,Philippine,Radio,Columnist,Corruption,Yes,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,28-May-10,Ejazul Haq,Male,Pakistan,City-42 TV,Pakistan,Television,Broadcast,War,No,Local,Unknown Fire,Dangerous Assignment,,,,"
"
Motive Confirmed,19-May-10,Fabio Polenghi,Male,Thailand,freelance,Italy,Print,Photographer,"Culture, War",Yes,Foreign,Unknown Fire,Dangerous Assignment,,,,"
"
Motive Confirmed,"May 9 or 10, 2010",Ghulam Rasool Birhamani,Male,Pakistan,Daily Sindhu Hyderabad ,Pakistani,Print,Print Reporter,Culture,No,Local,Mob Violence,Murder,Yes,Yes,Yes,"Yes
"
Motive Confirmed,5-May-10,Sardasht Osman,Male,Iraq,freelance,Iraq,Internet,Internet Reporter,Corruption,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,"No
"
Motive Confirmed,4-May-10,Sheikh Nur Mohamed Abkey,Male,Somalia,Radio Mogadishu,Somalia,Radio,Producer,"Culture, War",No,Local,Political Group,Murder,Partial,Yes,Yes,"Yes
"
Motive Confirmed,24-Apr-10,Sunday Gyang Bwede,Male,Nigeria,The Light Bearer,Nigeria,Print,Print Reporter,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,"
"
Motive Confirmed,24-Apr-10,Nathan S. Dabak,Male,Nigeria,The Light Bearer,Nigeria,Print,Editor,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,"
"
Motive Confirmed,22-Apr-10,Germain Cyrille Ngota Ngota,Male,Cameroon,Cameroon Express,Cameroon,Print,Editor,"Corruption, Politics",No,Local,Government Officials,Dangerous Assignment,,,,"
"
Motive Confirmed,17-Apr-10,Azamat Ali Bangash,Male,Pakistan,Samaa TV,Pakistani,Television,Broadcast,,No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,16-Apr-10,Malik Arif,Male,Pakistan,Samaa TV,Pakistani,Television,Camera Operator,,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,10-Apr-10,Hiro Muramoto,Male,Thailand,Reuters,Japan,Television,Camera Operator,Politics,No,Foreign,Unknown Fire,Dangerous Assignment,,,,"
"
