State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
Montana,1965,0.1,0.2,0.2,2.2,5.7,0.7
Oregon,1965,0.5,0.5,1.0,6.7,7.1,1.9
Rhode Island,1965,0.2,0.3,0.5,3.2,7.6,0.9
South Carolina,1965,0.2,0.3,0.6,6.2,10.0,2.5
South Dakota,1965,0.0,0.1,0.1,1.8,8.4,0.7
Tennessee,1965,0.2,1.6,1.8,10.8,8.9,3.7
Texas,1965,0.5,4.5,5.1,33.9,6.0,10.4
All states combined,1965,27.0,72.5,99.5,742.3,6.5,190.9
Utah,1965,0.0,0.3,0.4,3.2,2.3,1.0
Vermont,1965,0.1,0.0,0.1,1.2,8.8,0.4
Virginia,1965,0.2,1.3,1.6,13.7,5.6,4.3
Washington,1965,0.5,3.0,3.5,12.3,6.3,3.1
Pennsylvania,1965,1.8,4.6,6.3,40.5,6.5,11.6
West Virginia,1965,0.4,0.2,0.6,5.2,4.5,1.8
Missouri,1965,0.1,1.3,1.4,15.6,6.2,4.5
Minnesota,1965,0.3,1.3,1.6,12.5,8.0,3.6
Alaska,1965,0.1,0.1,0.2,1.4,9.7,0.3
Arizona,1965,0.0,0.6,0.7,5.0,2.5,1.5
Arkansas,1965,0.1,0.4,0.5,4.4,5.3,1.9
California,1965,3.7,7.5,11.2,78.3,4.5,17.7
Colorado,1965,0.1,0.8,1.0,6.6,4.6,2.0
Connecticut,1965,1.2,1.0,2.2,11.5,6.6,2.8
Delaware,1965,0.3,0.3,0.6,2.3,9.8,0.5
District of Columbia,1965,0.0,0.3,0.3,6.0,6.8,0.8
Florida,1965,0.7,2.1,2.8,17.4,6.9,5.8
Georgia,1965,0.6,1.1,1.7,12.5,9.3,4.3
Mississippi,1965,0.3,0.5,0.8,4.9,6.9,2.2
Hawaii,1965,0.3,0.2,0.5,2.8,8.8,0.7
Illinois,1965,1.1,3.9,5.0,46.0,6.3,10.6
Indiana,1965,0.5,1.0,1.5,18.5,8.7,4.9
Iowa,1965,0.1,0.5,0.6,9.2,8.2,2.8
Kansas,1965,0.2,0.7,1.0,6.8,4.5,2.2
Kentucky,1965,0.7,0.8,1.5,9.5,6.5,3.1
Louisiana,1965,0.6,1.4,2.0,11.5,7.4,3.4
Maine,1965,0.2,0.1,0.3,2.8,5.9,1.0
Maryland,1965,0.8,1.5,2.2,12.3,7.8,3.5
Massachusetts,1965,1.8,1.6,3.3,20.0,5.4,5.4
Michigan,1965,1.0,2.9,3.8,37.0,11.5,8.3
Idaho,1965,0.0,0.1,0.2,2.2,10.9,0.7
Wisconsin,1965,0.2,1.2,1.5,14.8,5.8,4.2
Wyoming,1965,0.0,0.1,0.1,1.4,1.2,0.3
Wyoming,1966,0.0,0.1,0.1,1.5,1.4,0.3
Minnesota,1966,0.3,1.5,1.8,13.7,7.2,3.6
Michigan,1966,0.9,3.2,4.2,39.3,3.2,8.4
Massachusetts,1966,1.8,1.6,3.4,21.8,6.2,5.5
Maryland,1966,0.8,1.6,2.4,13.6,7.6,3.6
Maine,1966,0.2,0.1,0.3,3.0,4.0,1.0
Louisiana,1966,0.6,1.4,2.1,12.8,8.5,3.5
Kentucky,1966,0.8,0.9,1.7,10.4,6.1,3.1
Kansas,1966,0.3,0.8,1.0,7.4,5.4,2.2
Iowa,1966,0.1,0.5,0.6,10.2,7.9,2.8
Indiana,1966,0.5,1.0,1.5,20.0,5.3,5.0
Mississippi,1966,0.3,0.6,0.9,5.3,5.1,2.2
Illinois,1966,1.2,4.1,5.2,50.4,6.7,10.7
Hawaii,1966,0.3,0.2,0.5,3.1,6.2,0.7
Georgia,1966,0.6,1.2,1.8,13.8,7.3,4.3
Florida,1966,0.8,2.3,3.1,19.2,7.0,6.0
District of Columbia,1966,0.0,0.3,0.3,6.5,4.0,0.8
Delaware,1966,0.3,0.3,0.6,2.5,4.4,0.5
Connecticut,1966,1.2,1.0,2.3,12.8,8.8,2.8
Colorado,1966,0.1,0.9,1.0,7.3,6.7,2.0
California,1966,4.2,8.3,12.5,84.6,5.2,18.1
Arkansas,1966,0.1,0.5,0.6,4.9,6.5,1.9
Arizona,1966,0.0,0.7,0.8,5.5,6.9,1.6
Idaho,1966,0.0,0.2,0.2,2.3,0.6,0.7
Missouri,1966,0.1,1.4,1.5,16.8,4.9,4.5
Montana,1966,0.1,0.2,0.3,2.3,4.9,0.7
Nebraska,1966,0.1,0.7,0.8,5.2,6.6,1.5
Wisconsin,1966,0.3,1.4,1.7,16.1,6.2,4.2
West Virginia,1966,0.4,0.2,0.6,5.6,4.0,1.8
Washington,1966,0.6,3.1,3.6,14.3,12.6,3.2
Virginia,1966,0.3,1.4,1.7,14.9,6.1,4.4
Vermont,1966,0.1,0.1,0.1,1.4,15.6,0.4
Utah,1966,0.1,0.4,0.5,3.4,3.4,1.0
All states combined,1966,29.6,77.5,107.1,813.4,6.6,193.3
Texas,1966,0.6,4.8,5.4,36.8,5.7,10.5
Tennessee,1966,0.2,1.7,2.0,12.0,7.7,3.8
South Dakota,1966,0.0,0.1,0.1,1.9,5.9,0.7
South Carolina,1966,0.2,0.3,0.6,6.9,8.7,2.5
Rhode Island,1966,0.3,0.3,0.5,3.5,6.9,0.9
Pennsylvania,1966,2.0,4.8,6.8,44.1,5.8,11.6
Oregon,1966,0.5,0.5,0.9,7.3,5.1,2.0
Oklahoma,1966,0.4,0.7,1.2,7.5,4.3,2.5
Ohio,1966,1.0,3.5,4.5,42.7,6.2,10.3
North Dakota,1966,0.0,0.2,0.2,1.8,-1.6,0.6
North Carolina,1966,0.3,1.0,1.2,16.0,6.8,4.9
New York,1966,4.6,13.2,17.7,86.6,4.8,17.6
New Mexico,1966,0.1,0.3,0.4,3.5,1.4,1.0
New Jersey,1966,1.0,2.5,3.5,29.0,5.9,6.7
New Hampshire,1966,0.1,0.1,0.3,2.2,7.6,0.7
Nevada,1966,0.0,0.3,0.3,2.1,2.0,0.4
Alaska,1966,0.1,0.1,0.3,1.5,5.8,0.3
Alabama,1966,0.5,1.1,1.6,9.8,6.5,3.4
Missouri,1967,0.1,1.5,1.6,17.8,2.9,4.6
Alabama,1967,0.6,1.3,1.9,10.1,-0.8,3.4
Nevada,1967,0.0,0.3,0.3,2.2,2.5,0.4
New Hampshire,1967,0.1,0.2,0.3,2.4,6.2,0.7
New Jersey,1967,1.2,2.7,3.9,31.0,3.7,6.8
New Mexico,1967,0.1,0.3,0.4,3.5,-1.1,1.0
New York,1967,4.8,13.7,18.5,92.1,3.4,17.8
North Carolina,1967,0.5,1.0,1.5,17.2,4.4,4.9
North Dakota,1967,0.0,0.2,0.2,1.9,-1.3,0.6
Ohio,1967,1.2,3.5,4.6,44.4,1.2,10.4
Oklahoma,1967,0.6,0.8,1.4,8.1,5.2,2.5
Oregon,1967,0.5,0.5,1.0,7.6,2.2,2.0
Rhode Island,1967,0.3,0.3,0.6,3.6,1.7,0.9
South Carolina,1967,0.3,0.4,0.7,7.4,3.3,2.5
South Dakota,1967,0.0,0.1,0.1,2.0,-0.8,0.7
Tennessee,1967,0.3,1.7,2.0,12.6,2.2,3.8
Texas,1967,0.7,5.1,5.8,39.9,5.5,10.7
All states combined,1967,32.5,81.2,113.7,860.0,2.7,195.8
Utah,1967,0.1,0.5,0.6,3.5,-0.6,1.0
Vermont,1967,0.1,0.1,0.2,1.5,1.9,0.4
Virginia,1967,0.3,1.5,1.8,15.9,3.8,4.4
Washington,1967,0.6,3.1,3.7,15.7,6.6,3.2
West Virginia,1967,0.4,0.3,0.6,5.8,1.6,1.8
Wisconsin,1967,0.4,1.5,1.8,16.8,1.4,4.3
Wyoming,1967,0.1,0.1,0.2,1.5,-0.8,0.3
Nebraska,1967,0.1,0.8,0.9,5.5,2.4,1.5
Montana,1967,0.1,0.2,0.2,2.4,-2.3,0.7
Pennsylvania,1967,2.1,4.7,6.8,46.5,2.5,11.7
Mississippi,1967,0.3,0.6,0.9,5.7,3.3,2.2
Alaska,1967,0.2,0.2,0.3,1.6,6.9,0.3
Arkansas,1967,0.1,0.5,0.6,5.1,2.4,1.9
California,1967,4.7,8.5,13.2,89.6,2.9,18.6
Colorado,1967,0.1,0.9,1.0,7.7,2.4,2.1
Connecticut,1967,1.3,1.2,2.5,13.6,3.1,2.9
Delaware,1967,0.4,0.3,0.6,2.6,2.0,0.5
District of Columbia,1967,0.0,0.4,0.4,7.2,8.2,0.8
Florida,1967,0.9,2.3,3.2,21.1,7.0,6.2
Georgia,1967,0.7,1.3,2.0,14.7,3.5,4.4
Hawaii,1967,0.3,0.2,0.5,3.3,3.3,0.7
Idaho,1967,0.0,0.1,0.2,2.3,-0.2,0.7
Arizona,1967,0.1,0.7,0.8,5.8,1.7,1.6
Indiana,1967,0.5,1.2,1.7,21.0,1.5,5.0
Iowa,1967,0.1,0.6,0.7,10.6,1.1,2.8
Kansas,1967,0.3,0.8,1.0,7.8,1.9,2.2
Kentucky,1967,1.0,1.0,2.0,11.0,3.4,3.2
Louisiana,1967,0.7,1.6,2.3,14.0,6.7,3.5
Maine,1967,0.2,0.2,0.3,3.2,2.1,1.0
Maryland,1967,0.9,1.6,2.5,14.3,2.6,3.7
Massachusetts,1967,1.8,1.8,3.7,23.3,3.6,5.5
Michigan,1967,1.0,3.2,4.2,40.0,-0.9,8.6
Minnesota,1967,0.3,1.6,1.9,14.6,3.3,3.7
Illinois,1967,1.2,4.4,5.6,52.8,1.8,10.8
Montana,1968,0.1,0.2,0.2,2.5,2.8,0.7
Kansas,1968,0.2,0.8,1.0,8.5,4.9,2.2
Kentucky,1968,1.1,1.2,2.4,12.2,6.1,3.2
Louisiana,1968,0.7,1.7,2.5,15.1,3.1,3.6
Maine,1968,0.2,0.2,0.3,3.4,3.6,1.0
Mississippi,1968,0.4,0.6,1.1,6.3,6.4,2.2
Massachusetts,1968,1.8,2.0,3.8,25.2,4.0,5.6
Michigan,1968,1.0,3.6,4.6,44.7,7.2,8.7
Minnesota,1968,0.4,1.7,2.0,16.1,6.0,3.7
Iowa,1968,0.1,0.8,0.9,11.3,1.8,2.8
Missouri,1968,0.1,1.6,1.8,19.7,6.0,4.6
Maryland,1968,0.9,1.9,2.8,15.9,6.2,3.7
Indiana,1968,0.6,1.2,1.7,22.6,3.7,5.1
District of Columbia,1968,0.0,0.4,0.4,7.7,3.5,0.8
Idaho,1968,0.0,0.1,0.2,2.5,2.6,0.7
Hawaii,1968,0.3,0.2,0.6,3.7,7.9,0.7
Georgia,1968,0.8,1.4,2.2,16.4,7.1,4.5
Florida,1968,0.8,2.4,3.2,23.8,8.0,6.4
Delaware,1968,0.4,0.3,0.7,2.9,6.2,0.5
Connecticut,1968,1.4,1.3,2.7,14.3,0.9,2.9
Colorado,1968,0.1,0.9,1.0,8.5,6.8,2.1
California,1968,5.3,9.1,14.4,98.7,5.7,19.0
Alaska,1968,0.2,0.2,0.3,1.9,10.9,0.3
Arkansas,1968,0.1,0.6,0.7,5.7,6.6,1.9
Alabama,1968,0.6,1.4,2.0,11.0,4.7,3.4
Illinois,1968,1.3,4.3,5.6,56.3,2.3,10.9
Nebraska,1968,0.1,0.8,0.9,5.8,1.8,1.5
Arizona,1968,0.1,0.7,0.8,6.6,9.3,1.7
New Hampshire,1968,0.1,0.2,0.3,2.6,5.1,0.7
Wyoming,1968,0.1,0.1,0.2,1.7,4.0,0.3
Wisconsin,1968,0.4,1.5,2.0,18.2,3.8,4.3
West Virginia,1968,0.4,0.3,0.7,6.1,0.3,1.8
Washington,1968,0.6,3.2,3.8,17.0,4.2,3.3
Virginia,1968,0.3,1.7,2.0,17.7,6.6,4.5
Utah,1968,0.1,0.5,0.6,3.7,2.4,1.0
All states combined,1968,35.7,85.5,121.2,940.7,4.9,198.3
Texas,1968,0.9,5.3,6.2,44.5,6.9,10.9
Tennessee,1968,0.4,1.8,2.1,14.0,6.4,3.9
South Dakota,1968,0.0,0.1,0.1,2.1,2.4,0.7
Vermont,1968,0.1,0.1,0.2,1.6,3.8,0.4
Rhode Island,1968,0.3,0.3,0.6,3.9,3.3,0.9
South Carolina,1968,0.3,0.5,0.8,8.2,6.2,2.5
New Jersey,1968,1.1,2.7,3.9,33.7,4.2,6.9
New Mexico,1968,0.1,0.3,0.4,3.8,3.9,1.0
New York,1968,5.7,13.9,19.5,99.8,4.0,17.9
North Carolina,1968,0.5,1.1,1.5,19.0,6.0,5.0
Nevada,1968,0.0,0.3,0.3,2.5,8.8,0.4
Ohio,1968,1.3,3.7,5.0,48.7,5.1,10.5
Oklahoma,1968,0.7,0.8,1.4,8.8,4.8,2.5
Oregon,1968,0.5,0.5,1.0,8.5,7.1,2.0
Pennsylvania,1968,2.4,5.2,7.6,50.0,3.0,11.7
North Dakota,1968,0.0,0.2,0.2,2.0,0.2,0.6
Illinois,1969,1.3,5.0,6.3,60.8,3.0,11.0
Michigan,1969,0.9,3.8,4.7,47.9,2.1,8.8
Massachusetts,1969,1.9,2.1,4.0,27.5,3.8,5.6
Maryland,1969,1.2,2.0,3.2,17.4,4.6,3.8
Maine,1969,0.2,0.2,0.4,3.7,3.4,1.0
Louisiana,1969,0.8,2.0,2.7,16.3,3.2,3.6
Kentucky,1969,1.2,1.2,2.5,13.2,3.1,3.2
Kansas,1969,0.2,0.9,1.1,9.2,3.0,2.2
Iowa,1969,0.1,0.8,0.9,12.3,4.3,2.8
Indiana,1969,0.6,1.3,1.9,24.2,1.9,5.1
Minnesota,1969,0.4,2.0,2.3,17.7,4.4,3.8
Alaska,1969,0.2,0.2,0.4,2.1,4.1,0.3
Georgia,1969,0.9,1.5,2.4,18.1,5.0,4.5
Florida,1969,0.9,2.6,3.6,27.4,9.9,6.6
District of Columbia,1969,0.0,0.5,0.5,8.1,-0.4,0.8
Delaware,1969,0.4,0.3,0.7,3.1,1.4,0.5
Connecticut,1969,1.6,1.4,3.0,15.6,4.2,3.0
Colorado,1969,0.1,1.0,1.1,9.5,5.8,2.2
California,1969,5.5,10.1,15.6,106.6,3.0,19.5
Arkansas,1969,0.1,0.8,1.0,6.2,4.2,1.9
Arizona,1969,0.1,0.8,0.9,7.6,9.4,1.7
Mississippi,1969,0.4,0.7,1.2,6.8,3.5,2.2
Alabama,1969,0.6,1.6,2.2,11.9,3.1,3.4
Idaho,1969,0.0,0.2,0.2,2.8,5.0,0.7
Missouri,1969,0.1,1.8,2.0,21.1,2.0,4.6
Hawaii,1969,0.4,0.2,0.7,4.3,9.2,0.8
Nebraska,1969,0.1,1.1,1.2,6.5,7.0,1.5
Wisconsin,1969,0.5,1.7,2.2,19.5,2.1,4.4
Wyoming,1969,0.1,0.2,0.2,1.8,2.7,0.3
West Virginia,1969,0.5,0.3,0.7,6.4,-0.1,1.8
Washington,1969,0.7,3.4,4.1,18.1,1.4,3.4
Virginia,1969,0.3,1.7,2.0,19.6,5.8,4.6
Vermont,1969,0.2,0.1,0.2,1.8,5.3,0.4
Montana,1969,0.1,0.2,0.2,2.8,4.0,0.7
All states combined,1969,39.6,94.0,133.5,"1,017.60",3.1,200.8
Texas,1969,0.9,5.7,6.6,48.6,4.1,11.0
Tennessee,1969,0.4,1.9,2.2,15.2,3.5,3.9
South Dakota,1969,0.0,0.1,0.1,2.3,3.5,0.7
South Carolina,1969,0.3,0.5,0.8,8.9,3.5,2.6
Utah,1969,0.1,0.5,0.6,4,3.3,1.0
Pennsylvania,1969,2.9,5.3,8.2,54.5,4.0,11.8
Oregon,1969,0.6,0.7,1.3,9.4,4.6,2.1
Oklahoma,1969,0.7,0.9,1.6,9.6,3.8,2.5
Ohio,1969,1.4,4.0,5.4,52.8,3.4,10.6
North Dakota,1969,0.0,0.2,0.2,2.2,6.0,0.6
North Carolina,1969,0.6,1.2,1.8,20.9,5.0,5.0
New York,1969,6.7,15.4,22.1,107,2.2,18.1
New Mexico,1969,0.1,0.3,0.4,4.1,2.5,1.0
New Jersey,1969,1.4,3.0,4.5,35.9,1.6,7.1
New Hampshire,1969,0.2,0.2,0.3,2.8,3.4,0.7
Nevada,1969,0.0,0.3,0.3,2.9,10.2,0.5
Rhode Island,1969,0.4,0.4,0.7,4.1,0.2,0.9
Oregon,1970,0.7,0.7,1.3,9.8,-0.5,2.1
Oklahoma,1970,0.7,0.9,1.6,10.4,2.4,2.6
Ohio,1970,1.6,4.2,5.9,53.7,-3.4,10.7
North Dakota,1970,0.0,0.2,0.2,2.3,0.0,0.6
Nevada,1970,0.0,0.3,0.4,3.3,5.1,0.5
New York,1970,7.4,16.4,23.8,112.3,-0.3,18.2
New Mexico,1970,0.1,0.3,0.4,4.4,2.9,1.0
New Jersey,1970,1.8,3.3,5.0,38.5,2.0,7.2
New Hampshire,1970,0.2,0.2,0.4,3.1,2.8,0.7
North Carolina,1970,0.5,1.2,1.7,22.8,3.9,5.1
Pennsylvania,1970,3.2,5.8,9.1,56.7,-1.2,11.8
Wisconsin,1970,0.5,1.8,2.4,20.2,-1.7,4.4
South Carolina,1970,0.4,0.5,0.9,9.6,2.3,2.6
South Dakota,1970,0.0,0.1,0.1,2.4,1.8,0.7
Tennessee,1970,0.4,2.2,2.6,16.1,0.8,3.9
Texas,1970,1.0,6.0,7.0,52.3,2.3,11.2
All states combined,1970,42.0,101.6,143.6,"1,073.30",0.2,203.3
Utah,1970,0.1,0.5,0.6,4.4,4.7,1.1
Vermont,1970,0.2,0.1,0.3,2,4.6,0.4
Virginia,1970,0.3,1.9,2.2,21,1.8,4.7
Washington,1970,0.7,3.6,4.3,18.1,-4.9,3.4
West Virginia,1970,0.6,0.3,0.9,7.1,5.5,1.7
Nebraska,1970,0.1,1.3,1.3,6.9,0.4,1.5
Rhode Island,1970,0.4,0.4,0.8,4.3,-0.4,0.9
Montana,1970,0.1,0.2,0.2,2.9,0.4,0.7
Illinois,1970,1.3,5.4,6.7,62.8,-2.0,11.1
Mississippi,1970,0.5,0.8,1.2,7.3,1.3,2.2
Alabama,1970,0.7,1.8,2.5,12.5,-0.1,3.4
Alaska,1970,0.2,0.2,0.4,2.4,8.1,0.3
Arizona,1970,0.1,0.9,0.9,8.6,7.6,1.8
Arkansas,1970,0.1,0.9,1.0,6.7,1.6,1.9
California,1970,5.3,10.5,15.9,112,-0.2,20.0
Colorado,1970,0.1,1.1,1.2,10.4,4.5,2.2
Connecticut,1970,1.9,1.5,3.4,16.3,-0.6,3.0
Delaware,1970,0.4,0.3,0.7,3.2,-2.0,0.5
District of Columbia,1970,0.0,0.6,0.6,8.6,0.4,0.8
Florida,1970,0.9,2.9,3.7,30.7,6.3,6.8
Georgia,1970,0.9,1.7,2.6,19.4,1.7,4.6
Hawaii,1970,0.5,0.3,0.8,4.8,7.3,0.8
Idaho,1970,0.0,0.2,0.2,3,4.1,0.7
Indiana,1970,0.6,1.5,2.1,24.5,-3.7,5.2
Iowa,1970,0.1,0.9,1.0,13,-0.2,2.8
Kansas,1970,0.2,0.9,1.2,9.8,1.1,2.2
Kentucky,1970,1.2,1.4,2.6,13.9,0.3,3.2
Louisiana,1970,0.9,2.2,3.1,17.2,0.0,3.6
Maine,1970,0.2,0.2,0.4,4,1.8,1.0
Maryland,1970,1.1,2.2,3.3,18.7,2.3,3.9
Massachusetts,1970,1.9,2.3,4.2,29.1,0.4,5.7
Michigan,1970,1.0,4.2,5.2,46.2,-8.4,8.9
Minnesota,1970,0.5,2.2,2.6,18.7,0.5,3.8
Missouri,1970,0.1,2.1,2.3,22.2,0.1,4.7
Wyoming,1970,0.1,0.2,0.2,1.9,2.5,0.3
Alabama,1971,0.8,1.9,2.7,13.6,3.9,3.5
Pennsylvania,1971,3.8,6.3,10.1,60.3,1.3,11.8
Nevada,1971,0.0,0.4,0.5,3.6,5.3,0.5
New Hampshire,1971,0.2,0.2,0.4,3.3,4.0,0.8
New Jersey,1971,2.0,3.5,5.5,41.3,2.1,7.2
New York,1971,8.6,18.5,27.2,119.1,0.9,18.2
North Carolina,1971,0.6,1.3,1.9,25,4.3,5.2
North Dakota,1971,0.0,0.2,0.2,2.6,9.2,0.6
Ohio,1971,1.8,4.5,6.3,58,2.7,10.7
Oklahoma,1971,0.8,0.9,1.7,11.3,3.5,2.6
Oregon,1971,0.8,0.7,1.5,10.9,5.5,2.1
Rhode Island,1971,0.4,0.4,0.8,4.6,1.5,0.9
Nebraska,1971,0.1,1.5,1.6,7.7,5.5,1.5
South Carolina,1971,0.4,1.1,1.5,10.6,5.1,2.6
Tennessee,1971,0.5,2.4,2.8,17.9,5.6,4.0
Texas,1971,1.2,6.5,7.7,57.3,4.3,11.5
All states combined,1971,48.0,111.0,159.0,"1,164.90",3.3,205.5
Utah,1971,0.1,0.5,0.6,4.9,5.6,1.1
Vermont,1971,0.3,0.1,0.4,2.1,2.0,0.5
Virginia,1971,0.4,2.3,2.6,23.2,4.7,4.7
Washington,1971,0.9,3.6,4.4,18.8,-1.4,3.5
West Virginia,1971,0.6,0.3,0.9,7.6,2.1,1.8
Wisconsin,1971,0.7,1.9,2.6,22.1,4.1,4.4
Wyoming,1971,0.0,0.2,0.2,2.1,2.9,0.3
South Dakota,1971,0.0,0.1,0.1,2.7,3.7,0.7
Montana,1971,0.1,0.2,0.3,3.1,2.5,0.7
New Mexico,1971,0.1,0.3,0.5,4.8,3.6,1.0
Mississippi,1971,0.5,0.8,1.3,7.9,4.0,2.2
Alaska,1971,0.3,0.3,0.6,2.5,2.4,0.3
Arizona,1971,0.1,1.0,1.1,9.6,7.2,1.9
Arkansas,1971,0.1,1.0,1.1,7.4,6.2,2.0
California,1971,5.7,11.2,16.9,120.4,2.3,20.3
Colorado,1971,0.1,1.1,1.3,12,9.5,2.3
Connecticut,1971,2.2,1.6,3.8,17.1,-0.3,3.0
Delaware,1971,0.4,0.3,0.8,3.6,8.9,0.6
Missouri,1971,0.1,2.3,2.4,24.2,3.8,4.7
Florida,1971,1.0,3.0,4.0,34.2,5.9,7.0
Georgia,1971,0.9,1.9,2.8,21.6,6.0,4.7
Hawaii,1971,0.7,0.3,1.0,5.2,2.6,0.8
Idaho,1971,0.0,0.2,0.2,3.3,3.1,0.7
District of Columbia,1971,0.0,0.7,0.7,9.2,2.1,0.7
Minnesota,1971,0.6,2.5,3.1,20,2.0,3.8
Indiana,1971,0.6,1.7,2.3,26.9,4.2,5.2
Iowa,1971,0.1,1.0,1.1,13.7,0.4,2.8
Kansas,1971,0.2,0.9,1.2,10.8,5.6,2.3
Kentucky,1971,1.5,1.4,3.0,15.6,6.3,3.3
Louisiana,1971,0.9,2.3,3.3,18.6,3.2,3.7
Maine,1971,0.3,0.2,0.5,4.2,1.1,1.0
Maryland,1971,1.3,2.3,3.6,20.5,4.2,4.0
Massachusetts,1971,2.0,2.6,4.6,31,1.5,5.7
Michigan,1971,1.2,4.9,6.1,51.7,6.6,8.9
Illinois,1971,1.6,5.7,7.3,67.4,2.2,11.1
Indiana,1972,0.6,1.9,2.5,30,6.8,5.3
Iowa,1972,0.1,1.0,1.1,15.3,7.4,2.8
Kansas,1972,0.2,1.1,1.3,12.1,7.4,2.3
Kentucky,1972,1.8,1.5,3.3,16.9,4.2,3.3
Louisiana,1972,1.1,2.3,3.5,20.3,4.4,3.8
Minnesota,1972,0.6,3.0,3.6,21.9,4.9,3.9
Maryland,1972,1.4,2.5,4.0,22.6,5.9,4.0
Massachusetts,1972,2.3,3.1,5.4,33.8,4.6,5.7
Michigan,1972,1.4,5.3,6.6,56.6,4.9,9.0
Illinois,1972,1.8,6.0,7.8,73.5,4.6,11.2
Maine,1972,0.3,0.3,0.5,4.6,5.4,1.0
Idaho,1972,0.0,0.2,0.2,3.8,10.8,0.8
Rhode Island,1972,0.4,0.4,0.8,5.1,6.6,0.9
Georgia,1972,1.0,1.9,2.9,24.6,9.4,4.8
Florida,1972,1.1,3.5,4.6,39.7,11.4,7.3
District of Columbia,1972,0.0,0.8,0.8,9.9,3.3,0.7
Delaware,1972,0.5,0.3,0.8,4,5.4,0.6
Connecticut,1972,2.4,1.7,4.1,18.8,5.2,3.0
Colorado,1972,0.1,1.2,1.4,13.8,10.1,2.3
California,1972,6.1,11.9,18.0,133.1,6.0,20.7
Arkansas,1972,0.1,0.9,1.0,8.5,9.4,2.0
Arizona,1972,0.1,1.2,1.2,11.3,12.2,1.9
Alaska,1972,0.4,0.4,0.8,2.7,3.6,0.3
Alabama,1972,0.8,1.7,2.5,15.4,8.0,3.5
Mississippi,1972,0.5,0.8,1.3,9.2,11.1,2.3
Hawaii,1972,0.8,0.3,1.1,5.6,3.9,0.8
Missouri,1972,0.1,2.4,2.5,26.4,4.4,4.7
Vermont,1972,0.3,0.2,0.5,2.3,3.6,0.5
Nebraska,1972,0.1,1.5,1.6,8.5,6.2,1.5
Wyoming,1972,0.0,0.2,0.2,2.4,7.5,0.4
Wisconsin,1972,0.8,2.0,2.8,24.1,4.5,4.5
West Virginia,1972,0.7,0.3,1.0,8.4,5.8,1.8
Washington,1972,1.0,3.7,4.7,20.5,4.7,3.5
Virginia,1972,0.4,2.4,2.8,26.1,7.9,4.8
Utah,1972,0.1,0.4,0.5,5.6,8.8,1.1
Montana,1972,0.1,0.2,0.3,3.7,11.7,0.7
Texas,1972,1.3,7.5,8.8,64,7.0,11.7
Tennessee,1972,0.6,2.5,3.1,20.3,9.1,4.1
South Dakota,1972,0.0,0.1,0.1,3,9.9,0.7
South Carolina,1972,0.5,0.8,1.3,11.9,8.1,2.7
All states combined,1972,54.0,120.0,174.0,"1,279.10",5.3,207.8
Pennsylvania,1972,4.3,6.5,10.8,65.4,4.0,11.8
New Hampshire,1972,0.2,0.3,0.4,3.6,4.3,0.8
New Jersey,1972,2.6,4.1,6.6,45.4,5.3,7.2
New Mexico,1972,0.1,0.3,0.4,5.4,7.5,1.1
New York,1972,10.7,21.0,31.7,127.2,2.4,18.1
Nevada,1972,0.1,0.4,0.5,4,5.9,0.5
North Dakota,1972,0.1,0.2,0.3,3.1,12.1,0.6
Ohio,1972,2.1,5.1,7.3,62.9,4.1,10.7
Oklahoma,1972,0.8,1.1,1.9,12.7,8.3,2.6
Oregon,1972,0.9,0.9,1.8,12.2,7.8,2.2
North Carolina,1972,0.5,1.5,2.0,28,7.2,5.2
Idaho,1973,0.0,0.2,0.2,4.5,12.6,0.8
Illinois,1973,1.9,6.7,8.6,81.3,4.8,11.2
Indiana,1973,0.6,1.9,2.5,34,7.5,5.3
Iowa,1973,0.1,1.0,1.1,18.5,14.6,2.9
Kansas,1973,0.2,1.2,1.4,14,9.4,2.3
Maine,1973,0.4,0.3,0.6,5.2,6.6,1.0
Louisiana,1973,1.2,2.9,4.1,22.7,6.2,3.8
Maryland,1973,1.6,2.7,4.3,25.1,5.1,4.0
Massachusetts,1973,3.1,3.3,6.4,36.9,3.5,5.7
Michigan,1973,1.4,5.5,7.0,62.9,5.4,9.0
Kentucky,1973,1.8,1.7,3.5,18.9,5.9,3.3
Hawaii,1973,1.0,0.3,1.3,6.4,7.1,0.8
Alabama,1973,0.8,2.1,3.0,17.4,7.6,3.6
Florida,1973,1.3,3.8,5.1,47,12.1,7.6
District of Columbia,1973,0.0,1.4,1.4,10.4,-0.4,0.7
Delaware,1973,0.5,0.4,0.9,4.5,7.5,0.6
Connecticut,1973,2.6,1.8,4.4,20.8,4.9,3.1
Colorado,1973,0.1,1.4,1.5,16.1,10.9,2.4
California,1973,6.0,12.5,18.6,147.2,4.8,21.0
Arkansas,1973,0.1,1.0,1.1,9.9,10.3,2.0
Arizona,1973,0.1,1.3,1.4,13.3,11.9,2.0
Alaska,1973,0.4,0.4,0.8,3,5.1,0.3
Wyoming,1973,0.0,0.2,0.3,2.8,14.4,0.4
Minnesota,1973,0.6,2.9,3.6,26,12.4,3.9
Georgia,1973,1.1,2.2,3.2,28.2,8.7,4.8
Mississippi,1973,0.6,0.9,1.5,10.6,9.0,2.3
